SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,32,L23-CBI0592-2C,13.336205,100.95583,150,30,33162,39050,200,520,17
LTE,CBI0923,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,31,L23-CBI0923-1C,13.283259,100.925397,245,30,33162,38852,196,520,17
LTE,CBI0923,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,32,L23-CBI0923-2C,13.283259,100.925397,245,30,33162,39050,196,520,17
LTE,CBI0923,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,33,L23-CBI0923-3C,13.283259,100.925397,245,30,33162,39248,196,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,41,L23-CBI0923-1D,13.283237,100.925397,10,30,33162,38852,202,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,42,L23-CBI0923-2D,13.283237,100.925397,10,30,33162,39050,202,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,43,L23-CBI0923-3D,13.283237,100.925397,10,30,33162,39248,202,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,51,L23-CBI0923-1E,13.283237,100.925397,170,30,33162,38852,114,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,52,L23-CBI0923-2E,13.283237,100.925397,170,30,33162,39050,114,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,53,L23-CBI0923-3E,13.283237,100.925397,170,30,33162,39248,114,520,17
LTE,RM-CBI0923/D,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,61,L23-CBI0923-1F,13.283237,100.925397,280,30,33162,38852,86,520,17
