SYSTEM,SITE,LAT,LON,CELL_NAME,CID,ENBID,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1296-L23,13.41229,101.06263,L23-CBI1296-1A,11,502917,190,30,33163,38852,260,520,17
LTE,CBI1296-L23,13.41229,101.06263,L23-CBI1296-2A,12,502917,190,30,33163,39050,260,520,17
LTE,CBI1296-L23,13.41229,101.06263,L23-CBI1296-3A,13,502917,190,30,33163,39248,260,520,17
LTE,CBI1296-L23,13.41149,101.06203,L23-CBI1296-2B,22,502917,350,30,33163,39050,363,520,17
LTE,CBI1296-L23,13.41149,101.06203,L23-CBI1296-3B,23,502917,350,30,33163,39248,363,520,17
LTE,CBI1296-L23,13.41149,101.06203,L23-CBI1296-1C,31,502917,280,30,33163,38852,364,520,17
LTE,CBI1296-L23,13.41149,101.06203,L23-CBI1296-2C,32,502917,280,30,33163,39050,364,520,17
LTE,CBI1296-L23,13.41149,101.06203,L23-CBI1296-3C,33,502917,280,30,33163,39248,364,520,17
LTE,CBI1296-L23,13.41229,101.06263,L23-CBI1296-1D,41,502917,260,30,33163,38852,170,520,17
LTE,CBI1296-L23,13.41229,101.06263,L23-CBI1296-2D,42,502917,260,30,33163,39050,170,520,17
LTE,CBI1296-L23,13.41229,101.06263,L23-CBI1296-3D,43,502917,260,30,33163,39248,170,520,17
LTE,CBI1296-L23,13.412902,101.061294,L23-CBI1296-1E,51,502917,240,30,33163,38852,420,520,17
LTE,CBI1296-L23,13.412902,101.061294,L23-CBI1296-2E,52,502917,240,30,33163,39050,420,520,17
