SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK3506	304731	BKK3506-L23	MUSE_HOTEL	13	L23-BKK3506-3A	13.737586	100.546587	360	170	33113	520	17	39248	434
LTE	BKK3506	304731	BKK3506-L23	MUSE_HOTEL	23	L23-BKK3506-3B	13.737586	100.546587	360	170	33113	520	17	39248	462
LTE	BKK3506	304731	BKK3506-L23	MUSE_HOTEL	22	L23-BKK3506-2B	13.737586	100.546587	360	170	33113	520	17	39050	462
LTE	BKK3506	304731	BKK3506-L23	MUSE_HOTEL	21	L23-BKK3506-1B	13.737586	100.546587	360	170	33113	520	17	38852	462
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	23	L23-BKK3065-3B	13.72122947	100.530208	360	170	33023	520	17	39248	494
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	11	L23-BKK1442-1A	13.72391086	100.5203782	360	170	33021	520	17	38852	462
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	13	L23-BKK1442-3A	13.72391086	100.5203782	360	170	33021	520	17	39248	462
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	12	L23-BKK1442-2A	13.72391086	100.5203782	360	170	33021	520	17	39050	462
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	22	L23-BKK1442-2B	13.72391086	100.5203782	360	170	33021	520	17	39050	463
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	23	L23-BKK1442-3B	13.72391086	100.5203782	360	170	33021	520	17	39248	463
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	21	L23-BKK1442-1B	13.72391086	100.5203782	360	170	33021	520	17	38852	463
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	31	L23-BKK1442-1C	13.72391086	100.5203782	360	170	33021	520	17	38852	464
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	33	L23-BKK1442-3C	13.72391086	100.5203782	360	170	33021	520	17	39248	464
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	32	L23-BKK1442-2C	13.72391086	100.5203782	360	170	33021	520	17	39050	464
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	42	L23-BKK1442-2D	13.72391086	100.5203782	360	170	33021	520	17	39050	465
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	43	L23-BKK1442-3D	13.72391086	100.5203782	360	170	33021	520	17	39248	465
LTE	BKK1442	304709	BKK1442-L23	CENTRAL_SILOM	41	L23-BKK1442-1D	13.72391086	100.5203782	360	170	33021	520	17	38852	465
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	11	L23-BKK1572-1A	13.721499	100.530143	360	170	33023	520	17	38852	489
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	12	L23-BKK1572-2A	13.721499	100.530143	360	170	33023	520	17	39050	489
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	13	L23-BKK1572-3A	13.721499	100.530143	360	170	33023	520	17	39248	489
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	11	L23-BKK1653-1A	13.745173	100.52023	30	30	33021	520	17	38852	276
LTE	BKK1653	304718	BKK1653-L23	SOL_TWIN	12	L23-BKK1653-2A	13.745173	100.52023	30	30	33021	520	17	39050	276
