SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI0074-L23	12.667777	100.932777	L23-CBI0074-1E	51	260	30	33082	520	17	38852                                                       	373
LTE	CBI0633-L23	13.0814	101.16511	L23-CBI0633-1C	31	280	30	33092	520	17	38852                                                       	65
LTE	CBI0064-L23	13.31198	100.91395	L23-CBI0064-1K	111	310	30	33162	520	17	38852                                                       	93
LTE	CBI0452-L23	13.081111	101.081111	L23-CBI0452-2A	12	330	30	33092	520	17	39050                                                       	253
LTE	CBI0260-L23	13.260277	101.388055	L23-CBI0260-2B	22	120	30	33121	520	17	39050                                                       	388
LTE	CBI0932-L23	13.386388	100.988055	L23-CBI0932-3E	53	240	30	33161	520	17	39248                                                       	197
LTE	CBI0161-L23	12.8975	100.868611	L23-CBI0161-1A	11	40	30	33081	520	17	38852                                                       	69
LTE	CBI0422-L23	13.299746	101.158976	L23-CBI0422-3B	23	100	30	33163	520	17	39248                                                       	140
LTE	CBI0601-L23	13.324444	101.123333	L23-CBI0601-1B	21	100	30	33163	520	17	38852                                                       	423
LTE	CBI0638-L23	13.31287	100.955497	L23-CBI0638-3A	13	360	30	33162	520	17	39248                                                       	204
LTE	CBI0002-L23	13.367562	100.990877	L23-CBI0002-2A	12	30	30	33161	520	17	39050                                                       	2
LTE	CBI0222-L23	12.635277	100.94	L23-CBI0222-2A	12	0	30	33082	520	17	39050                                                       	86
LTE	CBI0466-L23	13.42161	101.03901	L23-CBI0466-2B	22	60	30	33163	520	17	39050                                                       	263
LTE	CBI1123-L23	12.950387	100.888742	L23-CBI1123-2O	152	0	30	33081	520	17	39050                                                       	484
LTE	CBI1295-L23	13.41302	101.06177	L23-CBI1295-2D	42	190	30	33163	520	17	39050                                                       	241
LTE	CBI0395-L23	13.375	100.986944	L23-CBI0395-2A	12	30	30	33161	520	17	39050                                                       	159
LTE	CBI0779-L23	13.336111	100.943888	L23-CBI0779-3B	23	140	30	33162	520	17	39248                                                       	253
LTE	CBI0928-L23	13.275238	100.926858	L23-CBI0928-1C	31	120	30	33162	520	17	38852                                                       	130
LTE	CBI0309-L23	13.425833	101.004722	L23-CBI0309-3E	53	200	30	33161	520	17	39248                                                       	137
LTE	CBI0177-L23	13.083611	100.877777	L23-CBI0177-2E	52	210	30	33091	520	17	39050                                                       	286
LTE	CBI1116-L23	13.1153	100.99053	L23-CBI1116-3D	43	90	30	33091	520	17	39248                                                       	117
LTE	RYG0064-L23	13.03276	101.10918	L23-RYG0064-2G	72	210	30	33092	520	17	39050                                                       	381
LTE	CBI1225-L23	13.02549	101.1607	L23-CBI1225-3D	43	240	30	33092	520	17	39248                                                       	237
LTE	CBI1133-L23	13.413053	101.127364	L23-CBI1133-2C	32	150	30	33163	520	17	39050                                                       	13
LTE	CBI0301-L23	13.08	101.000277	L23-CBI0301-1C	31	100	30	33091	520	17	38852                                                       	155
LTE	CBI0037-L23	13.358888	100.979444	L23-CBI0037-3G	73	160	30	33161	520	17	39248                                                       	414
LTE	CBI0187-L23	13.260833	101.305833	L23-CBI0187-3C	33	260	30	33092	520	17	39248                                                       	397
LTE	CBI0121-L23	13.11	101.039722	L23-CBI0121-1A	11	20	30	33091	520	17	38852                                                       	277
